PORT_NAME;CNTR_CODE3;LONGITUDE;LATITUDE;Continent
MARYPORT;GBR;-3,506872101;54,71158718;Europe
PORT EDGAR;GBR;-3,412231784;55,99399836;Europe
RAMSGATE;GBR;1,416709309;51,32810977;Europe
RUNCORN;GBR;-2,752876823;53,32921899;Europe
ROSYTH;GBR;-3,451432955;56,02362369;Europe
PORT TALBOT;GBR;-3,789871542;51,58116419;Europe
PORTISHEAD;GBR;-2,760734027;51,48945781;Europe
NEWPORT;GBR;-2,988402988;51,55952548;Europe
PRESTON;GBR;-2,744533464;53,76023695;Europe
TILBURY;GBR;0,34617703;51,46009753;Europe
SOUTHAMPTON;GBR;-1,430357489;50,90566391;Europe
SWANSEA;GBR;-3,917236422;51,61647607;Europe
GRANTON;GBR;-3,224857311;55,98376993;Europe
LEITH;GBR;-3,17049214;55,98046781;Europe
CARDIFF;GBR;-3,157205729;51,46382281;Europe
WEYMOUTH;GBR;-2,451426314;50,58023919;Europe
WHITEHAVEN;GBR;-3,592027294;54,54903258;Europe
WORKINGTON;GBR;-3,562714122;54,65048328;Europe
PENARTH;GBR;-3,173555721;51,4511483;Europe
TROON;GBR;-4,67946728;55,54643534;Europe
TYNE;GBR;-1,456858067;54,98215561;Europe
LYMINGTON;GBR;-1,531411611;50,75657517;Europe
HEYSHAM;GBR;-2,913283163;54,03460071;Europe
CHATHAM;GBR;0,542175802;51,4014782;Europe
LARNE;GBR;-5,808338388;54,84828157;Europe
BARROW-IN-FURNESS;GBR;-3,217697258;54,10345413;Europe
BARRY DOCK;GBR;-3,256341775;51,40053389;Europe
BIRKENHEAD;GBR;-3,034073359;53,4043447;Europe
BLYTH;GBR;-1,503580795;55,12509759;Europe
BRISTOL;GBR;-2,608257299;51,44887567;Europe
BRIXHAM;GBR;-3,509160328;50,39963804;Europe
FALMOUTH;GBR;-5,055953684;50,15310586;Europe
FELIXSTOWE;GBR;1,310523163;51,95355967;Europe
HOLYHEAD;GBR;-4,632608881;53,31692992;Europe
FRASERBURGH;GBR;-2,001183375;57,69316305;Europe
GRANGEMOUTH;GBR;-3,701181665;56,02704967;Europe
GRIMSBY;GBR;-0,075862138;53,57792935;Europe
DOVER;GBR;1,32079154;51,12215432;Europe
GARSTON;GBR;-2,904410748;53,34855443;Europe
LIVERPOOL;GBR;-3,007867007;53,43616472;Europe
LLANELLI;GBR;-4,174835407;51,67444241;Europe
LOWESTOFT;GBR;1,755977821;52,47439897;Europe
FAIRLIE;GBR;-4,857612199;55,77435449;Europe
GREENOCK;GBR;-4,73445346;55,94493888;Europe
HARTLEPOOL;GBR;-1,200462892;54,69346852;Europe
GOOLE;GBR;-0,877204437;53,69877049;Europe
VILA REAL DE SANTO ANTONIO;PRT;-7,416912081;37,20356696;Europe
BASEL;CHE;7,596314246;47,58659638;Europe
TERMINI IMERESE;ITA;13,71277982;37,98163275;Europe
GAETA;ITA;13,56974757;41,22491517;Europe
FIUMICINO;ITA;12,226174;41,77093704;Europe
FANO;ITA;13,01859894;43,8517906;Europe
FALCONARA;ITA;13,38196407;43,63965581;Europe
BARI;ITA;16,86077727;41,1351007;Europe
ANZIO;ITA;12,63150839;41,44717058;Europe
ANCONA;ITA;13,49808255;43,61583664;Europe
ALGHERO;ITA;8,314621453;40,56073274;Europe
CIVITAVECCHIA;ITA;11,78561645;42,09378784;Europe
CHIAVARI;ITA;9,33298055;44,30929143;Europe
CATANIA;ITA;15,09419864;37,49600602;Europe
CASTELLAMMARE DI STABBIA;ITA;14,46869795;40,69245259;Europe
CASTELLAMMARE DEL GOLFO;ITA;12,87899602;38,03192938;Europe
BARLETTA;ITA;16,28779255;41,32813146;Europe
MARINA DI CARRARA;ITA;10,04072626;44,03360537;Europe
VADO LIGURE;ITA;8,450616273;44,25966649;Europe
PORTOPALO;ITA;15,11831387;36,67139834;Europe
POZZALLO;ITA;14,83125638;36,71395483;Europe
GELA;ITA;14,22901665;37,06649182;Europe
SANTA PANAGIA;ITA;15,25366577;37,11010117;Europe
PANTELLERIA;ITA;11,93978401;36,83336353;Europe
UNKNOWN_10;ITA;8,402463057;39,40285816;Europe
ARBATAX;ITA;9,703516433;39,93635214;Europe
GOLFO ARANCI;ITA;9,627015761;40,99465547;Europe
PORT OF PORTO CERVO;ITA;9,531481642;41,1345977;Europe
CROTONE;ITA;17,1237538;39,08595379;Europe
ORISTANO;ITA;8,552628864;39,86641135;Europe
LA SPEZIA;ITA;9,850882976;44,10135643;Europe
GORO;ITA;12,29186339;44,84411336;Europe
